symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,same_dir_mfe,t1_distance,t2_distance,t1_hit,t2_hit,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
IWM,2014,2014-01-02,2014-01-03,0.0036806429471458735,0.0036806429471458735,0.327228539574506,1.0,0.00851503830673439,0.012859530836967609,0.005127358324579395,0.008209422508114586,0.008415255008543586,0.011247927677493531,1.528121349134634,0.0032306186197996745,0.004207627504271793,0.0063114412564076895,0.0,0.0,156,105056.90196241548,0.1669664575893885,0.07515304835203947,0.01605500705652896
IWM,2014,2014-01-03,2014-01-06,0.004621141930550188,0.004621141930550188,0.4327917892720658,1.0,0.0013970458728258528,0.006897764113747193,0.006025277906812889,0.008207644311745308,0.0082843231616057,0.010677517561788124,0.8326285659298497,0.00043391270468329246,0.00414216158080285,0.0062132423712042755,0.0,0.0,130,86434.89272063215,0.15017941771473226,0.03471609604049189,0.01958880149108707
SPY,2014,2014-01-03,2014-01-06,0.0032806938898681803,0.0032806938898681803,0.4515518036959702,1.0,0.0018555713901571291,0.005293899707040904,0.005216018495729504,0.006489223462628036,0.00518956979660035,0.007265376559268649,1.0201037686223817,0.0003814489254692077,0.002594784898300175,0.0038921773474502623,0.0,0.0,216,244957.71885219225,0.2242934649638755,0.06895539659091159,0.01449131976607451
IWM,2014,2014-01-06,2014-01-07,0.0037798900940670954,0.0037798900940670954,0.34464202452240755,1.0,0.012671403133176828,0.013539294758429878,0.006809492594047064,0.008480714799959006,0.008415255008543586,0.010967583246138165,1.6088989275647751,0.00849462474791407,0.004207627504271793,0.0063114412564076895,1.0,1.0,119,100566.72809918992,0.15861156024664388,0.02255808049143978,0.016123959180749693
QQQ,2014,2014-01-06,2014-01-07,0.004633937989956705,0.004633937989956705,0.5380058570573802,1.0,0.003923424335531389,0.008769929657443193,0.005796412596377802,0.006340192731921841,0.006215827733821073,0.008613173870080152,1.4109029453510982,0.006111609453833156,0.0031079138669105363,0.004661870800365804,1.0,1.0,81,134958.91850019858,0.20473424019348427,0.023417902949738636,0.015162156896145858
SPY,2014,2014-01-06,2014-01-07,0.004003047406754723,0.004003047406754723,0.5409420726047741,1.0,0.006158400179755885,0.008065811124487648,0.005235786170350947,0.006433404851629977,0.00518956979660035,0.00740014062407649,1.554235021517873,0.0038232397304238663,0.002594784898300175,0.0038921773474502623,1.0,0.0,208,285027.4983493514,0.2513666998950399,0.09603070150905861,0.013080990130546373
IWM,2014,2014-01-08,2014-01-09,0.003395432592512959,0.003395432592512959,0.31118980516292766,1.0,0.0006970014976956929,0.008799461116675365,0.008320357478669636,0.00849985333968774,0.0086580656988466,0.010911130558198184,1.016331063166638,0.0012147452464073005,0.0043290328494233,0.00649354927413495,0.0,0.0,147,111779.45158977954,0.2126270200708246,0.07606815736587651,0.015625468743333912
QQQ,2014,2014-01-08,2014-01-09,0.0036650979701318143,0.0036650979701318143,0.42032921295707903,1.0,0.0019508626364015402,0.006885541745676224,0.007198239347433641,0.006427669864176573,0.006362764328709334,0.00871958897252775,1.0821619959438187,0.00011414055168290638,0.003181382164354667,0.0047720732465320005,0.0,0.0,105,183787.88176632812,0.38763163251161664,0.17005753236974705,0.012127772304071792
SPY,2014,2014-01-08,2014-01-09,0.003214888427174989,0.003214888427174989,0.44402644451255746,1.0,0.0003816152923594718,0.005124025385900979,0.005703868118319324,0.006088324943414673,0.005104632636030388,0.007240308470150293,1.0037990490703894,0.00010865391556480475,0.002552316318015194,0.0038284744770227907,0.0,0.0,251,313893.5100131628,0.2959900376400467,0.1153428355939049,0.012276319658377813
SPY,2014,2014-01-10,2014-01-13,-0.002552412415884664,0.002552412415884664,0.36088911634851184,0.0,0.0010329026613666858,0.006577911029852563,0.003341166204344626,0.005305540499502228,0.005208962546470941,0.00707256689176459,1.2628063594561802,0.012848802680646365,0.0026044812732354703,0.003906721909853205,1.0,1.0,231,247341.2038068962,0.34173524584262005,0.0,0.011853393941085899
IWM,2014,2014-01-13,2014-01-14,0.004388274436426531,0.004388274436426531,0.40207584343768377,1.0,0.011795321546878568,0.019340812389554096,0.008486092376100728,0.0079061671070388,0.008997344313082085,0.010914046461750825,2.1496134544315115,0.009349874798998403,0.004498672156541043,0.006748008234811564,1.0,1.0,128,117567.41749267938,0.2131218071327215,0.193220485896339,0.014403624556441397
QQQ,2014,2014-01-13,2014-01-14,0.0033717115256899355,0.0033717115256899355,0.35582475036040245,1.0,0.01342048824099229,0.020646972303932743,0.009055793634153615,0.00669080289854615,0.006960998254930319,0.00947576446628529,2.96609358999752,0.01645420763303651,0.0034804991274651597,0.0052207486911977396,1.0,1.0,92,176080.04473499066,0.2147739143622734,0.1907421462639413,0.0134785755705122
SPY,2014,2014-01-13,2014-01-14,0.0033022777074376286,0.0033022777074376286,0.43820192472755304,1.0,0.010780180471923306,0.015462494507558655,0.00741765182247458,0.006182001395132435,0.005208962546470941,0.0075359726215049865,2.9684403313735586,0.008118991940523124,0.0026044812732354703,0.003906721909853205,1.0,1.0,220,319584.25421141385,0.2789856527152307,0.2537915891381612,0.0117801402610468
IWM,2014,2014-01-14,2014-01-15,0.0026010322635952043,0.0026010322635952043,0.23437527341340988,1.0,0.007864329581303231,0.011621826307943797,0.00953250528958513,0.008240567756081084,0.008997344313082085,0.011097724711801382,1.2916951828825458,0.005620905649512675,0.004498672156541043,0.006748008234811564,1.0,0.0,128,106539.59853920588,0.24974499388622579,0.1977291085664304,0.014440462173678809
QQQ,2014,2014-01-14,2014-01-15,0.004335393574474322,0.004335393574474322,0.43079264598965566,1.0,0.015643087211844486,0.01645420763303657,0.012246962937201657,0.007833291117715213,0.006960998254930319,0.010063759478796732,2.363771262459723,0.005793503843037895,0.0034804991274651597,0.0052207486911977396,1.0,1.0,95,195162.1529398777,0.40705000830465915,0.369811803538085,0.010555371172629625
QQQ,2014,2014-01-16,2014-01-17,-0.00305495192868388,0.00305495192868388,0.30897641612925136,0.0,0.0009059365673325104,0.0039637424917860885,0.012345117791539538,0.007886468339058114,0.00685069136835789,0.00988733045374547,0.5785901420247745,0.005018848529668496,0.003425345684178945,0.005138018526268417,1.0,0.0,129,211675.9139058642,0.5349715187792111,0.47995452658154336,0.009234682020994004
IWM,2014,2014-01-17,2014-01-21,0.006900742255256498,0.006900742255256498,0.6993833509421875,1.0,0.003267107397423308,0.006362289393022649,0.010058559869716658,0.007600444455003108,0.008415255008543586,0.009866895238441167,0.7560423762040884,0.0011993436616322128,0.004207627504271793,0.0063114412564076895,0.0,0.0,168,80840.62928512986,0.14679749017754534,0.13230990827982425,0.014790732441577885
QQQ,2014,2014-01-17,2014-01-21,0.006372385133028624,0.006372385133028624,0.7068816473955224,1.0,0.002610411478155994,0.007944666584810795,0.012958836984677598,0.007708689042571393,0.00685069136835789,0.009014783672072159,1.1596882938714448,0.001695996069015715,0.003425345684178945,0.005138018526268417,0.0,0.0,134,175514.81684658225,0.33924784133398495,0.28732613764587656,0.011011923525737141
SPY,2014,2014-01-17,2014-01-21,0.0057721496521281335,0.0057721496521281335,0.861479064174722,1.0,0.0024986784281176844,0.0061379119313449,0.009261727056011294,0.005464970498340717,0.0053790126485183856,0.006700278500276413,1.141085238577297,0.00037903262249838754,0.0026895063242591928,0.004034259486388789,0.0,0.0,276,262357.5589951977,0.39155025718635356,0.2959585312063579,0.011031407385135713
QQQ,2014,2014-01-21,2014-01-22,0.0025973542587529597,0.0025973542587529597,0.2854646671839994,1.0,0.0012437879614990432,0.008819524624206609,0.009337709448924807,0.007788601704689837,0.0074151041652435095,0.009098689110546933,1.1893999635967323,0.0024780493774283485,0.0037075520826217547,0.005561328123932632,0.0,0.0,93,59594.04500503574,0.039680141666471866,0.03944140867427149,0.011572194693828138
IWM,2014,2014-01-22,2014-01-23,-0.004180512478431098,0.004180512478431098,0.4495836548522466,0.0,0.004456222745624849,0.00745567510823292,0.0044253494059637456,0.0065462450285319095,0.007966705926261688,0.00929863092955415,0.9358541883234085,0.00916477196119092,0.003983352963130844,0.005975029444696266,1.0,1.0,133,33325.668280729784,0.21865843857745615,0.1275925650904565,0.01441253583945616
QQQ,2014,2014-01-22,2014-01-23,-0.0030411877312321867,0.0030411877312321867,0.34493267180497783,0.0,0.0,0.005406660999476478,0.005725622783277101,0.00768858658269221,0.00685069136835789,0.008816757529282845,0.7892139214516175,0.007398150709804652,0.003425345684178945,0.005138018526268417,1.0,1.0,93,67257.60237529712,0.2593595604463915,0.1712161954317647,0.011838430242597897
SPY,2014,2014-01-22,2014-01-23,-0.005046163424691552,0.005046163424691552,0.7549469373699187,0.0,0.0010298793200116396,0.0035774494143739955,0.003718790414525584,0.0054740029656087765,0.005208962546470941,0.006684129936696421,0.6867873175240449,0.008524847269447244,0.0026044812732354703,0.003906721909853205,1.0,1.0,237,149462.1323438065,0.5272446004047465,0.3470894194115694,0.007869558552763703
IWM,2014,2014-01-23,2014-01-24,-0.006270363674801938,0.006270363674801938,0.6552621160692457,0.0,0.0025702797174457226,0.009595571499949931,0.005467111883792019,0.006628526592585493,0.00855665042637235,0.0095692449189895,1.1214167953356533,0.021815944127118403,0.004278325213186175,0.006417487819779262,1.0,1.0,163,92411.15558803664,0.3359202996756507,0.18197011151687068,0.015271910757909046
QQQ,2014,2014-01-23,2014-01-24,-0.0048598585992490895,0.0048598585992490895,0.551700097509775,0.0,0.0003389309521278916,0.007456739541131279,0.005195507879435425,0.007438236194102422,0.007171140643403752,0.00880887754268157,1.0398261464848315,0.015453857472420562,0.003585570321701876,0.005378355482552813,1.0,1.0,121,178691.72850360736,0.059388091325953164,0.05897468831695959,0.014233601299874077
SPY,2014,2014-01-23,2014-01-24,-0.00651013308345838,0.00651013308345838,0.9221776067274647,0.0,0.003163013832683026,0.008616385528373344,0.004337422665085184,0.005709745687916462,0.005715905819192901,0.007059521979243147,1.5074400805277783,0.015489594833633324,0.0028579529095964507,0.004286929364394676,1.0,1.0,278,280262.5682593832,0.3505688634808539,0.19731383438112993,0.011572699263789697
IWM,2014,2014-01-24,2014-01-27,0.0029087866014243513,0.0029087866014243513,0.27296992745686705,1.0,0.01936213541268239,0.021782319905669586,0.012718390258806656,0.008798170879175993,0.008997344313082085,0.01065606980418742,2.4209721388563756,0.0005273119989228636,0.004498672156541043,0.006748008234811564,0.0,0.0,147,79146.04492433897,0.22812821536171732,0.038390908837826886,0.018509087808007113
QQQ,2014,2014-01-27,2014-01-28,-0.004656595096315552,0.004656595096315552,0.4475074575451833,0.0,0.009684071461586785,0.018907072054857053,0.010671109543831865,0.00890806722779465,0.007950668345988872,0.010405625689143721,2.3780481378519216,0.002227200173997801,0.003975334172994436,0.005963001259491655,0.0,0.0,102,124816.89275764198,0.13558076113443615,0.05052072361405813,0.024266908304725478
IWM,2014,2014-01-28,2014-01-29,-0.00964861428261543,0.00964861428261543,0.8329091661210118,0.0,0.009291529640773621,0.010720959036633703,0.014592880609679528,0.009706247388754327,0.009466696638087312,0.011584233521586195,1.1324920874193987,0.007746357740547438,0.004733348319043656,0.007100022478565484,1.0,1.0,140,106622.4969659553,0.15408758169806833,0.0625691620469769,0.016858202988977396
QQQ,2014,2014-01-28,2014-01-29,-0.008619660767875237,0.008619660767875237,0.8214598030403367,0.0,0.004093549404925012,0.007368478161549708,0.008808438085058462,0.008901564070186375,0.007950668345988872,0.010493101106070773,0.9267746862145394,0.004129288170127143,0.003975334172994436,0.005963001259491655,1.0,0.0,103,142008.97475602102,0.16342835696053917,0.07411342784829543,0.02195118904635155
SPY,2014,2014-01-28,2014-01-29,-0.008320798750325098,0.008320798750325098,0.9651273009152856,0.0,0.005220657560103037,0.006624048156580839,0.010336806319626985,0.007506319373421085,0.0066525881379338,0.008621452053458654,0.9957099431437484,0.003957467938255466,0.0033262940689669,0.00498944110345035,1.0,0.0,203,253891.83949132718,0.15190219359205903,0.10115078440687854,0.015188344645334648
IWM,2014,2014-01-29,2014-01-30,0.008891732762049243,0.008891732762049243,0.7275470990247468,1.0,0.004826608230103835,0.013943557617853111,0.013366972666873343,0.010164440312737078,0.009714237505207095,0.012221521842322402,1.4353733486935012,0.011751087628481649,0.004857118752603548,0.007285678128905322,1.0,1.0,178,108756.91078701164,0.1455857182151239,0.09587024116701676,0.0168451838395161
QQQ,2014,2014-01-29,2014-01-30,0.012245389282825148,0.012245389282825148,1.1223145363056966,1.0,0.0021149136868163776,0.011514460351441588,0.007406642824355101,0.009167482822322303,0.008160733103423783,0.010910835498159976,1.4109590652598074,0.009654551811903556,0.004080366551711892,0.0061205498275678375,1.0,1.0,136,110993.41008715909,0.18955599000715329,0.048793263143739066,0.01870597384322636
SPY,2014,2014-01-29,2014-01-30,0.00834505597183477,0.00834505597183477,0.9157025951126442,1.0,0.001295166827162686,0.009404201777935042,0.009797515837696995,0.007725482675140228,0.006952540124619582,0.009113281993929712,1.3526281919084366,0.005480040918776519,0.003476270062309791,0.005214405093464687,1.0,1.0,224,237848.43860443987,0.22341808671511962,0.10281229111857583,0.016181093401267332
IWM,2014,2014-01-30,2014-01-31,-0.015486725663716783,0.015486725663716783,1.192246658215905,0.0,0.005964552283663327,0.014332774718307382,0.017588068677855142,0.010790431993680134,0.010252658816139126,0.012989531618307357,1.3979568593217575,0.0007196350847564759,0.005126329408069563,0.007689494112104345,0.0,0.0,190,130317.39130202451,0.24386353704505376,0.1623326580806493,0.0161163182445256
QQQ,2014,2014-01-30,2014-01-31,-0.011098255311822625,0.011098255311822625,0.9497361416723945,0.0,0.006164926971866214,0.010701474761853205,0.014484345430359598,0.01005777389032055,0.008567362878561906,0.011685619641977254,1.2490978745199977,0.0010532939789298368,0.004283681439280953,0.006425522158921429,0.0,0.0,145,187911.10751199521,0.037256126612731325,0.03409461633460787,0.01794425188283794
SPY,2014,2014-01-30,2014-01-31,-0.012386326360671829,0.012386326360671829,1.2942626061843563,0.0,0.002236727016657225,0.008667466509462658,0.012698149151849294,0.008087995963447727,0.007644881627220026,0.009570180194874227,1.1337607215004692,0.0005086838052343889,0.003822440813610013,0.00573366122041502,0.0,0.0,248,326520.05877652956,0.3735070236074555,0.24343893525411175,0.013493816962072495
IWM,2014,2014-01-31,2014-02-03,-0.002585600089680784,0.002585600089680784,0.19807299259049393,0.0,0.008179808198735872,0.016449454661165732,0.014026009830283457,0.010652782307193551,0.010252658816139126,0.013053774044936978,1.6044086666838049,0.03439668209170543,0.005126329408069563,0.007689494112104345,1.0,1.0,154,79356.3963705475,0.11558170622187551,0.019702678593255182,0.018998356052958066
IWM,2014,2014-02-03,2014-02-04,0.004970095793314089,0.004970095793314089,0.34245652453238246,1.0,0.028783419519505693,0.03620269350969531,0.018862218879509004,0.012533683701184255,0.010696686579223846,0.0145130708200133,3.384477355820795,0.006960293889944458,0.005348343289611923,0.008022514934417885,1.0,0.0,136,74618.81787752442,0.09216271241507107,0.005937310599749044,0.02477967376423075
QQQ,2014,2014-02-03,2014-02-04,0.005101439085363424,0.005101439085363424,0.3969250612148131,1.0,0.02113575289657388,0.028219722308115546,0.015189221010592988,0.011050123067463903,0.009109978196934175,0.012852398560449074,3.097671772432174,0.006255887295329332,0.0045549890984670875,0.006832483647700631,1.0,0.0,117,84639.47597674347,0.11370749516381606,0.06019065487471023,0.020395099025936458
SPY,2014,2014-02-03,2014-02-04,0.004478376227232239,0.004478376227232239,0.42082542717680804,1.0,0.021351930244948303,0.025509879502122957,0.01312620814399303,0.00923336599450894,0.008341098326430495,0.010641886012630762,3.0583357855031665,0.005087164362236329,0.004170549163215248,0.0062558237448228715,1.0,0.0,148,155858.71209142735,0.1913391867222268,0.06458109778128096,0.020367613395176773
IWM,2014,2014-02-04,2014-02-05,-0.0060290824403914645,0.0060290824403914645,0.4144760330058845,0.0,0.0025643261565739817,0.01419539690179092,0.018258842585873403,0.012661488263160445,0.010696686579223846,0.014546275201166739,1.3270835596288866,0.014356306178060052,0.005348343289611923,0.008022514934417885,1.0,1.0,138,94547.30835648379,0.27728278119347016,0.07982944471799655,0.021597246339132143
QQQ,2014,2014-02-04,2014-02-05,-0.003297684567364567,0.003297684567364567,0.2539950553657333,0.0,0.0022427105602993436,0.009324845421913076,0.015988339697573226,0.011200179812634764,0.009362638595787409,0.012983262853743965,0.9959634056694939,0.010628127685127442,0.004681319297893704,0.007021978946840556,1.0,1.0,117,114073.2498557589,0.2656062783087759,0.07851710488417461,0.017660956973734335
