sample,feature,outcome,expected_sign,n,rho,p_value
NON_OPEX,near_gamma_share_0_5,mfe_from_open,1,100,-0.3001980198019802,0.0024089152371879596
NON_OPEX,near_gamma_share_0_5,gap_retention_close,1,100,-0.04793279327932793,0.6358037536215206
NON_OPEX,near_gamma_share_0_5,mae_from_open,-1,100,-0.35123912391239115,0.0003395375242620471
NON_OPEX,near_gamma_share_0_5,gap_fill,-1,100,-0.15460692027429254,0.12456734142065297
NON_OPEX,front_near_gamma_share,gap_followthrough,1,100,0.06957095709570957,0.4915807392276094
NON_OPEX,front_near_gamma_share,excursion_efficiency,1,100,-0.0034203420342034194,0.9730577738783861
NON_OPEX,front_near_gamma_share,mfe_from_open,1,100,-0.3484548454845484,0.0003812004273716652
NON_OPEX,front_near_gamma_share,gap_retention_close,1,100,-0.07529552955295529,0.45654585389398994
NON_OPEX,front_near_gamma_share,mae_from_open,-1,100,-0.34018601860186015,0.0005342350928385947
NON_OPEX,front_near_gamma_share,gap_fill,-1,100,-0.10952790935149197,0.27802081232966785
NON_OPEX,weighted_abs_distance,gap_followthrough,-1,100,-0.13447344734473446,0.18223821572664958
NON_OPEX,weighted_abs_distance,excursion_efficiency,-1,100,-0.07536753675367537,0.4561141502332295
NON_OPEX,weighted_abs_distance,mfe_from_open,-1,100,0.31143114311431136,0.001610587128891223
NON_OPEX,weighted_abs_distance,gap_retention_close,-1,100,0.08040804080408039,0.42646229495112087
NON_OPEX,weighted_abs_distance,mae_from_open,1,100,0.4276147614761476,9.103340691880002e-06
NON_OPEX,weighted_abs_distance,gap_fill,1,100,0.19686849301441806,0.04962394179081139
