date,next_date,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance,monthly_opex_week,quarterly_opex_week
2026-01-21,2026-01-22,0.009849331473531286,0.009849331473531286,1.0,-0.0025547776696152047,0.0,0.00017682395924434324,0.007397368112180169,0.02334558690575788,0.0,0.007269390951806898,0.0111737393491158,0.0206558523978276,0.0133509735071524,0.1800639873359751,0.1214132573369784,0.0151578270069407,False,False
2026-01-26,2026-01-27,0.005515862006646,0.005515862006646,1.0,0.0035299674565203443,1.0,0.004976872710672042,0.002502544428627962,0.665409164642183,0.0,0.009065300276544397,0.003610339886509,0.0088161460891902,0.0132880382169731,0.2623167583738935,0.1881617165025067,0.0151463833658164,False,False
2026-01-27,2026-01-28,0.0068607371798901085,0.0068607371798901085,1.0,-0.0035250860669054918,0.0,0.001793902958273419,0.005777091891813635,0.23694415249176826,0.0,0.003311466423943088,0.0035299674565203,0.0075143910190321,0.0040985139884395,0.212344696991219,0.1669046331295251,0.016588439215292,False,False
2026-01-29,2026-01-30,-0.005910062670053229,0.005910062670053229,-1.0,0.006137071040291819,1.0,0.01035045100280274,0.00407535072705012,0.7174957202817671,0.0,0.012010863235886293,0.0050897520177345,0.0243200847910816,0.005463143911743,0.2699699274933331,0.2155025846263656,0.0143569076665542,False,False
2026-01-30,2026-02-02,-0.005097500980987046,0.005097500980987046,-1.0,-0.01202521786748667,0.0,6.4719012443204e-05,0.015823465062528186,0.004073405251211538,1.0,-0.006866418326623602,0.0061370710402918,0.0142351366743204,0.0085482948916937,0.2092423729924925,0.1050501048908338,0.0165553413955876,False,False
2026-02-02,2026-02-03,0.003449664761872917,0.003449664761872917,1.0,-0.01874895510200192,0.0,0.002673870298298908,0.028381506476193863,0.08610007592936636,1.0,-0.015363967949866497,0.0120252178674866,0.0158071898741333,0.008945196472818,0.2116860592177051,0.1378632181549938,0.0154745158778275,False,False
2026-02-04,2026-02-05,-0.009145650891198898,0.009145650891198898,-1.0,0.005298133252306991,1.0,0.009163380384600739,0.007663943315739941,0.5445536407203732,0.0,0.014395329266405299,0.0150727118416654,0.0237299753768513,0.0097712202174962,0.1822485521500985,0.0874307561174543,0.0168134657880237,False,False
2026-02-05,2026-02-06,0.005292821113626056,0.005292821113626056,1.0,0.01576171201482124,1.0,0.018694031319224313,0.0023714996807420174,0.8874227437824469,0.0,0.021137957050586076,0.0052981332523069,0.0165909827370511,0.0098902906939217,0.2734457573393542,0.1533486373190216,0.0186739384209437,False,False
2026-02-06,2026-02-09,-0.003461078163240816,0.003461078163240816,-1.0,-0.011159807653957854,0.0,0.004082123842244156,0.014682233709583103,0.21754668823429246,1.0,-0.00766010452414001,0.0157617120148212,0.0211713866858043,0.0170916167711255,0.1587743894916282,0.0744115709251844,0.0178318100125526,False,False
2026-02-10,2026-02-11,0.008029886036826195,0.008029886036826195,1.0,-0.005305200534322485,0.0,0.0018495321707494572,0.014300058264072213,0.11452502019874787,1.0,0.002682085346810581,0.0062408003619396,0.009783190672566,0.0160275675235093,0.1640659870539876,0.0770813853451182,0.0156244949408126,False,False
2026-02-11,2026-02-12,0.0026097056960772136,0.0026097056960772136,1.0,-0.022888852989685904,0.0,0.0017894219170326853,0.02525145431474285,0.06617470165149267,1.0,-0.020338880463632636,0.0053052005343224,0.0160760422601624,0.0133271803546334,0.1796166965572495,0.0917530560811001,0.0150797253320394,False,False
2026-02-13,2026-02-17,-0.0058811438859841525,0.0058811438859841525,-1.0,-0.00487981364071155,0.0,0.008494249164436418,0.009308478356173655,0.4771318976040438,1.0,0.0010300291314303545,0.0024815386515502,0.0167487968054908,0.0108895634525048,0.2153630167874817,0.140130092875719,0.0171120876483057,False,False
2026-02-18,2026-02-19,-0.0049191643586673495,0.0049191643586673495,-1.0,-0.001094827801801923,0.0,0.003429042960622075,0.00499329768553225,0.4071365793293804,1.0,0.003829722194767071,0.0061118280136684,0.0150508049423759,0.0107900780005247,0.1837111660415915,0.1511387591514192,0.0150456454738714,True,False
2026-02-19,2026-02-20,-0.005551188540557028,0.005551188540557028,-1.0,-0.014480441431899527,0.0,0.0014852638843958488,0.017046558274987023,0.08014667265970081,1.0,-0.008848869230803524,0.0010948278018019,0.0083692492581808,0.0105002631593643,0.2147946055179573,0.1754131626422564,0.0138382295900288,True,False
2026-02-20,2026-02-23,-0.0036136269375561803,0.0036136269375561803,-1.0,0.008572249604525628,1.0,0.012619977819290806,0.002307948183957187,0.8453939158423597,0.0,0.012154899629995497,0.0144804414318995,0.0184267580112249,0.0054177213934211,0.1793136930237773,0.1275415404642282,0.017430348590586,True,False
2026-02-24,2026-02-25,0.005264303605599707,0.005264303605599707,1.0,0.009180593523363756,1.0,0.009426104532354929,0.0001145782720437527,0.9879905584964079,0.0,0.014493226560549965,0.0090802962839278,0.0153971669561915,0.0098403049062296,0.2603647733275432,0.1883022248331806,0.016376264744466,False,False
2026-02-26,2026-02-27,-0.010275113035860928,0.010275113035860928,-1.0,-0.00714782861487917,0.0,0.0013118418176008007,0.008856059949647888,0.12901794761887922,0.0,0.0032007291679606586,0.0103153663056088,0.0188266954086553,0.0130151023260144,0.2903348463845459,0.2319528427275973,0.0142234754013761,False,False
