date,next_date,qqq_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-01-02,2025-01-03,510.2300109863281,0.006114819850714381,0.006114819850714381,1.0,0.010188062243378315,1.0,0.012272424520784586,0.0015998014598039845,0.8846759372257496,0.0,0.016365180259338752,0.007913624155633792,0.021379854387405434,0.006029795413445933,False,False,1014,30761.25185893933,0.19701870859960977,0.10422073871464696,0.017638749402610322
2025-01-03,2025-01-06,518.5800170898438,0.010490189097401625,0.010490189097401625,1.0,0.0009922492971907726,1.0,0.007442393865781938,0.003812022532602821,0.6612865209830049,0.0,0.01149284727735167,0.010188062243378315,0.01395448124155575,0.012368080135702196,False,False,1029,28992.423057034695,0.2427308299587556,0.10345724202618603,0.017198355908342594
2025-01-08,2025-01-10,515.27001953125,-0.007355383393681025,0.007355383393681025,-1.0,0.008387441254349537,1.0,0.015002376085779145,0.00019546332953401802,0.9871387422782563,0.0,0.015681131801912884,0.0003688794655241079,0.012325741830455237,0.013309970113179189,False,False,1106,35703.818957836644,0.14969325069818795,0.07308773938409566,0.016996466760650537
2025-01-10,2025-01-13,507.19000244140625,-0.011810150447646106,0.011810150447646106,-1.0,-0.008699092668340791,0.0,0.0030018010073182833,0.009616872883573713,0.2378856156576759,0.0,0.003213795372476458,0.008387441254349537,0.014865939903702644,0.015477517865272324,False,False,960,27559.986528921076,0.1265244534771626,0.10853305563258524,0.01826889015220722
2025-01-13,2025-01-14,505.55999755859375,0.0062900401359635705,0.0062900401359635705,1.0,-0.00719425194080614,0.0,0.002791236102906325,0.014254658084663863,0.16374829458590007,1.0,-0.0009494639382984227,0.008699092668340791,0.01246076771272862,0.012052396558989546,True,False,953,29974.673742172257,0.16543236920152632,0.14187426034210907,0.01687847109488755
2025-01-14,2025-01-15,505.0799865722656,0.015740165787526905,0.015740165787526905,1.0,0.007153544043388749,1.0,0.009395056846220884,0.0030697178039873485,0.7537285759164474,0.0,0.023006307800127246,0.00719425194080614,0.01695151389667751,0.008574901708149875,True,False,964,30515.229368172273,0.16217469838563148,0.13206672022853583,0.016388980876795193
2025-01-15,2025-01-16,516.7000122070312,0.004412557011524099,0.004412557011524099,1.0,-0.011368383369195323,0.0,0.0001541814575805045,0.011755469574460164,0.012945925717362194,1.0,-0.0070059899974166395,0.007153544043388749,0.012651430071947845,0.014001981341201493,True,False,1077,35971.92807875227,0.21629803750822887,0.18210650323574873,0.013579401533974578
2025-01-16,2025-01-17,513.0800170898438,0.019041783290466796,0.019041783290466796,1.0,-0.002122951904738213,0.0,0.0023334260213248026,0.01898226601008668,0.10946986932848306,0.0,0.016878406595622453,0.011368383369195323,0.011825014916226385,0.014426941564056859,True,False,1025,39340.8524727663,0.20702005661977974,0.16990071711874205,0.012959448646566871
2025-01-17,2025-01-21,521.739990234375,0.005251639294783894,0.005251639294783894,1.0,0.0006101421143525076,1.0,0.002840890577068933,0.008498986522527563,0.2505221663442913,1.0,0.005864985655439581,0.002122951904738213,0.02136123335073694,0.013318868937268797,True,False,1106,17386.701360126033,0.18348296633197533,0.13215827442794706,0.015246201939639704
2025-01-21,2025-01-22,524.7999877929688,0.009089214257245182,0.009089214257245182,1.0,0.0036633540694810396,1.0,0.008025378970146324,0.0005857188392734969,0.9319809329499463,0.0,0.012785865336763846,0.0006101421143525076,0.011327429859989042,0.012378138332019908,False,False,1058,18507.76604035817,0.20240349884134706,0.1358048593115982,0.014542755975720023
