target,n_test,baseline_mae,extended_mae,mae_improvement_pct
gap_followthrough,69,0.006591750852448121,0.007805264865229156,-18.40958555541197
excursion_efficiency,69,0.2922170223971429,0.3002790197929057,-2.758907516621668
mae_from_open,69,0.0046250883370464345,0.005627274066980862,-21.66846678164032
