target,n_test,baseline_mae,extended_mae,mae_improvement_pct
path_efficiency,105,0.22315250905167017,0.22626397187814842,-1.3943212378390997
whipsaw_ratio,105,0.22315250905167017,0.22626397187814845,-1.394321237839112
