bucket,n,mean_near_share,mean_efficiency,mean_whipsaw,mean_bar_persistence,mean_reversals,mean_adverse_to_net,resolution
ABOVE_MEDIAN,82,0.24953585732797798,0.46377739659211553,0.5362226034078845,0.6425667828106852,2.8536585365853657,0.5774353883495441,60m
AT_OR_BELOW_MEDIAN,83,0.15788082133578465,0.3763217808671703,0.6236782191328297,0.6035570854847964,3.1927710843373496,0.5783061842778408,60m
ABOVE_MEDIAN,20,0.2542279866998006,0.11975407188804599,0.8802459281119541,0.5247335997335998,39.05,0.41280594607186644,5m
AT_OR_BELOW_MEDIAN,20,0.15860071935652534,0.10964486160276884,0.8903551383972312,0.5224775224775224,41.95,0.590734793389206,5m
