feature,rth_oc_differential,range_differential
near_gamma_share_0_5,-0.004274303422114177,0.15924718830978016
front_near_gamma_share,0.0030320839900622454,0.16013944914914652
weighted_abs_distance,-0.09111212032164134,0.048457243608580655
