date,next_date,spy_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-01-02,2025-01-03,584.6400146484375,0.004943237848978432,0.004943237848978432,1.0,0.007522990638360927,1.0,0.008629254738059755,0.0018758191682428649,0.8214368423322135,0.0,0.012503416419400448,0.00805917962969449,0.01813746343988207,0.005096162969283517,False,False,1138,50741.47088430637,0.20180566283539964,0.10046066629616197,0.01669526711722808
2025-01-03,2025-01-06,591.9500122070312,0.007297925897681745,0.007297925897681745,1.0,-0.0015262115314852442,0.0,0.005752415119709919,0.004498052653517881,0.5611856206927545,0.0,0.005760576187535671,0.007522990638360927,0.010553473514580516,0.009596950587203026,False,False,1079,49219.813576886576,0.22068794249120427,0.11538093910102848,0.01521921628455217
2025-01-06,2025-01-07,595.3599853515625,0.003460087357697317,0.003460087357697317,1.0,-0.014713230689951007,0.0,0.0005524038352988647,0.01813278073902902,0.029563734471096868,1.0,-0.011304052395755049,0.0015262115314852442,0.010304986055073002,0.009204652102588404,False,False,981,51061.686782769095,0.20397270948042245,0.10540762125550072,0.014652821569270814
2025-01-08,2025-01-10,589.489990234375,-0.006123912893121752,0.006123912893121752,-1.0,0.009199861069700832,1.0,0.012669634853517131,0.00011949089171037208,0.9906568365898691,0.0,0.015267434815002923,0.0013419025156498066,0.009139875368540853,0.008921308188468457,False,False,1266,56707.418299586745,0.2537690066982346,0.14081445533336734,0.014071425988259256
2025-01-10,2025-01-13,580.489990234375,-0.008131011356835471,0.008131011356835471,-1.0,-0.009760833191285068,0.0,0.0007300668517187248,0.010386057394267345,0.06567638464299688,1.0,-0.0015504563889190415,0.009199861069700832,0.012553265596792115,0.011652847508453369,False,False,1033,48151.55762290566,0.1963332845613034,0.16303775773824555,0.01643652534167847
2025-01-13,2025-01-14,581.3900146484375,0.005108396477915056,0.005108396477915056,1.0,-0.00371343515051048,0.0,0.0010952403731965266,0.010391648689076494,0.09534699667237849,1.0,0.0013759916283606621,0.009760833191285068,0.011025210635377996,0.00915470740559772,True,False,1051,53162.59144690861,0.20757291942897702,0.15498224744829467,0.015503079764866987
2025-01-14,2025-01-15,582.1900024414062,0.013981714928635869,0.013981714928635869,1.0,0.004150241620965112,1.0,0.00611519869743149,0.0019178629657181645,0.7612537976004785,0.0,0.018189984044830076,0.00371343515051048,0.011438146934951616,0.008198804402960082,True,False,1086,53762.714442886514,0.26996225369480387,0.19696802930113866,0.015345753155858776
2025-01-16,2025-01-17,591.6400146484375,0.008991966723853162,0.008991966723853162,1.0,0.0010385873330993611,1.0,0.004020308380074722,0.002266645379185306,0.6394684188909815,0.0,0.010039892999691435,0.004257987334411184,0.005769396304077344,0.01192563932158617,True,False,1143,61688.72865416482,0.3840083528328942,0.31546711948116274,0.010842717843064554
2025-01-17,2025-01-21,597.5800170898438,0.00517079844028312,0.00517079844028312,1.0,0.00396225040459286,1.0,0.003978914739268813,0.0033407387326787052,0.5435933209841087,0.0,0.00915353684308795,0.0010385873330993611,0.006338313682566439,0.008196878906915365,True,False,1102,32843.61797467181,0.302346989153841,0.2016919812848664,0.013605447611789475
2025-01-21,2025-01-22,603.0499877929688,0.004759133032555152,0.004759133032555152,1.0,0.0008582313604388325,1.0,0.003135767869772099,0.0009250653696057931,0.7721981388855282,0.0,0.005621448830210873,0.00396225040459286,0.007346321032983067,0.00790051307952628,False,False,1103,36697.688304706935,0.23283154563421943,0.1813726277459128,0.01306233381797736
2025-01-24,2025-01-27,607.969970703125,-0.021645761762396853,0.021645761762396853,-1.0,-0.007666309539702265,0.0,0.0002858585126612745,0.008204308775646929,0.033669361621994166,0.0,0.01414539533258774,0.0030173773188950648,0.006527333339739648,0.005119946641594823,False,False,934,43290.912254436305,0.34288025355287644,0.24368707356922006,0.014662288212811138
2025-01-29,2025-01-30,601.8099975585938,0.0035725967045823204,0.0035725967045823204,1.0,0.0017881250668878579,1.0,0.004371073443998119,0.0053936133765268846,0.44764092534030764,1.0,0.005367110021191612,0.0031636739502037825,0.00812220277418568,0.00895948626157534,False,False,1376,56997.869285002496,0.23799432832691386,0.1670646523704632,0.014308320378495146
2025-01-30,2025-01-31,605.0399780273438,0.00406588334985214,0.00406588334985214,1.0,-0.009349782182355937,0.0,0.004049418885030853,0.010731240891818983,0.2739673970016713,1.0,-0.00532191395620385,0.0017881250668878579,0.009770533734345296,0.008941900800109547,False,False,1278,56012.20257716338,0.25214629346723005,0.16865590183075518,0.013759744320774559
2025-01-31,2025-02-03,601.8200073242188,-0.015203921941287502,0.015203921941287502,-1.0,-0.00860518799358001,0.0,0.003691836799665227,0.01285706267722797,0.2230865445052732,0.0,0.006729566554251942,0.009349782182355937,0.014726356114082805,0.00909922851522733,False,False,1226,39498.461821175544,0.23367216233996055,0.14342498137998666,0.015088344197963965
2025-02-05,2025-02-06,604.219970703125,0.0029294290441777004,0.0029294290441777004,1.0,0.0005445916519448701,1.0,0.000759124705143055,0.005575536107293333,0.11983667754597366,1.0,0.003475616038725038,0.005960235694224991,0.009621419364994234,0.0063350077569014505,False,False,1175,48860.65423521832,0.2338062112113965,0.12820341868928042,0.014050678956490857
