date,next_date,qqq_open,qqq_close,day_oc,day_abs_oc,day_range,rv5,meaningful_move,next_close,next_cc,next_abs_cc,next_gap,next_oc,next_range,continuation_return,continued,pin_improvement,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,near_gamma_share_1_0,front_gamma_share,front_near_gamma_share,dominant_strike,dominant_strike_share,dominant_strike_distance,weighted_abs_distance,strike_hhi,effective_strikes,bars,rth_open,rth_close,rth_high,rth_low,rth_oc,path_efficiency,whipsaw_ratio,bar_direction_persistence,reversal_count,adverse_excursion,adverse_to_net,resolution,gap_aligned_efficiency
2026-01-20,2026-01-21,610.530029296875,608.0599975585938,-0.0040457170323396,0.0040457170323396,0.0128931681417042,0.0099188944584495,True,616.280029296875,0.0135184550394455,0.0135184550394455,0.0023188059569654,0.0111737393491158,0.0206558523978276,-0.0135184550394455,0.0,-0.0071374977352469,False,False,921,15171.88584496178,0.1871568667720095,0.385610762087177,0.4617682988987806,0.1054832933669212,610.0,0.1096549381875144,0.0031904786520993,0.016060111430811,0.0476243162525503,20.99767678966831,7,609.469970703125,616.1099853515625,620.4199829101562,607.863525390625,0.01089473635719429,0.34332691640104773,0.6566730835989523,0.7142857142857143,3,0.002635807159861704,0.2419340012868839,60m,
2026-01-21,2026-01-22,609.469970703125,616.280029296875,0.0111737393491158,0.0111737393491158,0.0206558523978276,0.0133509735071524,True,620.760009765625,0.0072693909518068,0.0072693909518068,0.0098493314735312,-0.0025547776696152,0.0075939385560176,0.0072693909518068,1.0,0.0048029480054336,False,False,1024,26589.01797338127,0.1800639873359751,0.3904489787244913,0.4259101381674467,0.1214132573369784,620.0,0.108205379288911,0.0060361694786201,0.0151578270069407,0.0441125920013224,22.669264140498036,7,622.3900146484375,620.7899780273438,622.3900146484375,617.780029296875,-0.002570794169950763,0.1632692463394431,0.8367307536605569,0.2857142857142857,3,0.0,0.0,60m,-0.1632692463394431
2026-01-22,2026-01-23,622.3499755859375,620.760009765625,-0.0025547776696152,0.0025547776696152,0.0075939385560176,0.0132252467739378,True,622.719970703125,0.0031573569602849,0.0031573569602849,-0.0016593035644546,0.0048246661104138,0.0108737674686043,-0.0031573569602849,0.0,-0.0031573569602848,False,False,950,30119.02358275784,0.3138312932340117,0.5212079909994594,0.4441904774725499,0.2213526193547873,620.0,0.1269845863013452,0.0012243214022629,0.0140252238782851,0.045837478213938,21.816208896411865,7,619.6900024414062,622.780029296875,625.39990234375,618.6500244140625,0.00498640746711243,0.42857384723480263,0.5714261527651974,0.5714285714285714,2,0.0016782230199721246,0.3365595433266836,60m,
2026-01-23,2026-01-26,619.72998046875,622.719970703125,0.0048246661104138,0.0048246661104138,0.0108737674686043,0.0132004711611977,True,625.4600219726562,0.0044001339260686,0.0044001339260686,0.0007869528722161,0.003610339886509,0.0088161460891902,0.0044001339260686,1.0,-0.0044001339260685,False,False,816,24979.043111770945,0.3047787113126578,0.4162396802942316,0.5845430156899085,0.1992235252068504,620.0,0.0949940471978029,0.0043678873829176,0.0153666512317609,0.0417802380587854,23.93476070176968,7,623.1900024414062,625.47998046875,627.6099853515625,622.1199951171875,0.003674606489790566,0.4155986574653566,0.5844013425346434,0.42857142857142855,1,0.0017169840979908123,0.4672565899943946,60m,
2026-01-26,2026-01-27,623.2100219726562,625.4600219726562,0.003610339886509,0.003610339886509,0.0088161460891902,0.0132880382169731,True,631.1300048828125,0.0090653002765443,0.0090653002765443,0.005515862006646,0.0035299674565203,0.0075143910190321,0.0090653002765443,1.0,-0.0090653002765445,False,False,1117,28305.050526474995,0.2623167583738935,0.4896262979539233,0.5632583025964585,0.1881617165025067,620.0,0.0984222471041972,0.0087296098564952,0.0151463833658164,0.0470061803406404,21.273798312334332,7,628.9000244140625,631.0800170898438,632.042724609375,627.3400268554688,0.003466358071479325,0.5698945319356022,0.43010546806439776,0.5714285714285714,3,0.0024805175672352347,0.7155976145812983,60m,0.5698945319356022
2026-01-27,2026-01-28,628.9099731445312,631.1300048828125,0.0035299674565203,0.0035299674565203,0.0075143910190321,0.0040985139884395,True,633.219970703125,0.003311466423943,0.003311466423943,0.0068607371798901,-0.0035250860669054,0.0075895267065192,0.003311466423943,1.0,-0.0033114664239431,False,False,952,26561.177093186456,0.212344696991219,0.4218263011273734,0.5416357851536105,0.1669046331295251,630.0,0.0870733357290956,0.0017904470934199,0.016588439215292,0.0406257393225324,24.61493665532789,7,635.4600219726562,633.010009765625,636.5900268554688,631.8099975585938,-0.0038554938506213388,0.3717826413137104,0.6282173586862896,0.7142857142857143,4,0.0017782470080566673,0.46122418474875554,60m,-0.3717826413137104
2026-01-28,2026-01-29,635.4600219726562,633.219970703125,-0.0035250860669054,0.0035250860669054,0.0075895267065192,0.0026130397322932,True,629.4299926757812,-0.0059852471537424,0.0059852471537424,-0.0009000763011779,-0.0050897520177345,0.0243200847910816,0.0059852471537424,1.0,0.0041849017742819,False,False,926,27264.86334589851,0.1912521854604893,0.4130326668603881,0.5448702716345757,0.1548573170387313,630.0,0.0889672502197848,0.0050850744640121,0.0147331837074905,0.0407078410325008,24.56529195939442,7,632.5800170898438,629.3599853515625,633.6699829101562,618.27001953125,-0.00509031529812598,0.16589573382220224,0.8341042661777978,0.42857142857142855,3,0.0017230481375729181,0.3384953655439114,60m,
2026-01-29,2026-01-30,632.6500244140625,629.4299926757812,-0.0050897520177345,0.0050897520177345,0.0243200847910816,0.005463143911743,True,621.8699951171875,-0.0120108632358862,0.0120108632358862,-0.0059100626700532,-0.0061370710402918,0.0142351366743204,0.0120108632358862,1.0,-0.0120108632358863,False,False,884,31636.01060299658,0.2699699274933331,0.4802132370298925,0.5051133434540599,0.2155025846263656,630.0,0.1500723440158445,0.0009055928869794,0.0143569076665542,0.0516097675780426,19.376177164290294,7,625.719970703125,621.8099975585938,628.2559814453125,619.2974853515625,-0.006248758754075823,0.39216298445697356,0.6078370155430264,0.5714285714285714,5,0.004052948380947104,0.6486005525983098,60m,0.39216298445697356
2026-01-30,2026-02-02,625.7100219726562,621.8699951171875,-0.0061370710402918,0.0061370710402918,0.0142351366743204,0.0085482948916937,True,626.1400146484375,0.0068664183266236,0.0068664183266236,-0.005097500980987,0.0120252178674866,0.0158071898741333,-0.0068664183266236,0.0,-0.0068664183266236,False,False,1238,24703.36481266072,0.2092423729924925,0.3812784410626207,0.4537898766683144,0.1050501048908338,620.0,0.0989475187596735,0.0030070515250298,0.0165553413955876,0.0417189739638903,23.96990877257777,7,618.7000122070312,626.25,628.489990234375,618.7000122070312,0.012202986332643384,0.691391905563039,0.308608094436961,0.5714285714285714,3,0.0,0.0,60m,-0.691391905563039
2026-02-02,2026-02-03,618.7000122070312,626.1400146484375,0.0120252178674866,0.0120252178674866,0.0158071898741333,0.008945196472818,True,616.52001953125,-0.0153639679498664,0.0153639679498664,0.0034496647618729,-0.0187489551020019,0.030376526098197,-0.0153639679498664,0.0,-0.0117225630826896,False,False,1212,28494.70776411431,0.2116860592177051,0.507389931842271,0.4557625918141071,0.1378632181549938,625.0,0.083756522183595,0.0018207024335884,0.0154745158778275,0.0403418439820998,24.788157934568183,7,628.2349853515625,616.4500122070312,629.97998046875,610.9600219726562,-0.018758861603252353,0.6201003927714636,0.37989960722853644,0.7142857142857143,1,0.0027776153157261603,0.14806950306859698,60m,-0.6201003927714636
