sample,n,brier_a,brier_b,brier_improvement_rel,ft_mae_a,ft_mae_b,ft_mae_improvement_rel,eff_mae_a,eff_mae_b,eff_mae_improvement_rel,ft_pred_rho_a,ft_pred_rho_b,eff_pred_rho_a,eff_pred_rho_b
FULL,741,0.25415505359146884,0.25260890249069545,0.006083495405362597,0.011441565007601165,0.011423989277104453,0.0015361299337141318,0.26376243096436536,0.264046268814685,-0.0010761117467786908,-0.013251574537582085,0.001772314240430163,-0.07331271239992253,-0.053432058202651254
SYMBOL_SPY,362,0.25348302187015787,0.25218293845379186,0.005128877692770876,0.009522321225049535,0.009507379643022106,0.001569111320055391,0.2550430906849315,0.25551992091775233,-0.001869606549780686,-0.006430734364497239,0.011835065696760051,-0.07675752166542439,-0.052803847482394015
SYMBOL_IWM,379,0.25479694140971304,0.2530157599612999,0.0069905919535706825,0.013274721338164994,0.013254629613615825,0.0015135326789425568,0.27209066627084316,0.272190168389064,-0.0003656947134004412,-0.019393254330473602,-0.004886447624436677,-0.07245877493417387,-0.05677132826403325
YEAR_2009,386,0.2546889496138618,0.25334615263989846,0.005272301668365161,0.01279744604462569,0.012772554174950245,0.0019450654129461037,0.2651284874108257,0.26506223426552006,0.0002498907075306301,-0.026606915621863216,-0.008857600327181466,-0.07495903250197104,-0.05927936325697483
YEAR_2010,355,0.253574535662895,0.2518072727509986,0.006969402141569151,0.009967283091287176,0.009957662374094664,0.0009652296522933081,0.2622770850817353,0.2629415852540588,-0.0025335807438778652,0.02514625149510438,0.0320109403715819,-0.061901999821644016,-0.039403386211747334
