sample,date,symbol,year,target,near_gamma_share_0_5,vol_residual
POOLED,2020-01-31,QQQ,2020,next_rth_range,0.19687750669337625,-0.26300496017760633
POOLED,2020-01-31,SPY,2020,next_rth_range,0.13979121934875757,-0.3685539685141084
POOLED,2020-02-03,IWM,2020,next_rth_range,0.11709640270218363,-0.5099195449814609
POOLED,2020-02-03,QQQ,2020,next_rth_range,0.1266244852781863,0.07359504887382506
POOLED,2020-02-03,SPY,2020,next_rth_range,0.14809123701387897,-0.3375198698377959
POOLED,2020-02-04,IWM,2020,next_rth_range,0.26575380183252556,-0.0018683822958065477
POOLED,2020-02-04,QQQ,2020,next_rth_range,0.11847286177084645,0.037329860785175306
POOLED,2020-02-04,SPY,2020,next_rth_range,0.22603860834938672,-0.21260748602179103
POOLED,2020-02-05,IWM,2020,next_rth_range,0.185774374073269,-0.47883093216715
POOLED,2020-02-05,QQQ,2020,next_rth_range,0.11579755303841469,-0.3857335631348695
POOLED,2020-02-05,SPY,2020,next_rth_range,0.24965035884489872,-0.822781289791271
POOLED,2020-02-06,IWM,2020,next_rth_range,0.16550648448754868,-0.0019247247470328688
POOLED,2020-02-06,QQQ,2020,next_rth_range,0.14499030233115354,-0.394977144675166
POOLED,2020-02-06,SPY,2020,next_rth_range,0.25347318303959393,-0.14863035690875837
POOLED,2020-02-07,IWM,2020,next_rth_range,0.18386003549215985,-0.43688041281482537
POOLED,2020-02-07,QQQ,2020,next_rth_range,0.0979852686200116,0.24451501974734047
POOLED,2020-02-07,SPY,2020,next_rth_range,0.27866855899211407,0.1815981281661525
POOLED,2020-02-10,IWM,2020,next_rth_range,0.2570985545289866,-0.15418788253097482
POOLED,2020-02-10,QQQ,2020,next_rth_range,0.17322554693163594,-0.24472546073619483
POOLED,2020-02-10,SPY,2020,next_rth_range,0.1830053211069132,-0.3711258154495063
POOLED,2020-02-11,IWM,2020,next_rth_range,0.12009387627443795,-0.7927043630391317
POOLED,2020-02-11,QQQ,2020,next_rth_range,0.19650760754555038,-0.5892020301981633
POOLED,2020-02-11,SPY,2020,next_rth_range,0.2158013383021513,-0.8692544698697562
POOLED,2020-02-12,IWM,2020,next_rth_range,0.11739835531414745,0.01891665352040839
POOLED,2020-02-12,QQQ,2020,next_rth_range,0.21866222395635432,0.08679854157769196
POOLED,2020-02-12,SPY,2020,next_rth_range,0.2626997019017956,0.07990658676230744
POOLED,2020-02-13,IWM,2020,next_rth_range,0.16945848858647708,-0.39145823358033827
POOLED,2020-02-13,QQQ,2020,next_rth_range,0.33862015834362275,-0.7795045525393585
POOLED,2020-02-13,SPY,2020,next_rth_range,0.2449130664680812,-0.6615854397229528
