sample,n,mean_capture_a,mean_capture_b,capture_improvement_rel,hit_rate_a,hit_rate_b,hit_rate_diff_pp,mean_target_mult_a,mean_target_mult_b,target_mult_ratio_b_to_a,capture_mfe_ratio_a,capture_mfe_ratio_b,upgrade_count,downgrade_count,unchanged_count,a_t1_share,a_t2_share,a_t3_share,b_t1_share,b_t2_share,b_t3_share
FULL,799,0.002112539987060867,0.002112539987060867,0.0,0.40550688360450565,0.40550688360450565,0.0,0.5003128911138923,0.5003128911138923,1.0,0.25945053667205864,0.25945053667205864,0,0,799,0.9987484355444305,0.0012515644555694619,0.0,0.9987484355444305,0.0012515644555694619,0.0
SYMBOL_SPY,245,0.0017710926273421528,0.0017710926273421528,0.0,0.4,0.4,0.0,0.5010204081632653,0.5010204081632653,1.0,0.25435222469302227,0.25435222469302227,0,0,245,0.9959183673469387,0.004081632653061225,0.0,0.9959183673469387,0.004081632653061225,0.0
SYMBOL_QQQ,278,0.0021558724866770265,0.0021558724866770265,0.0,0.420863309352518,0.420863309352518,0.0,0.5,0.5,1.0,0.26753001537363197,0.26753001537363197,0,0,278,1.0,0.0,0.0,1.0,0.0,0.0
SYMBOL_IWM,276,0.0023719898719804064,0.0023719898719804064,0.0,0.39492753623188404,0.39492753623188404,0.0,0.5,0.5,1.0,0.25583818651200996,0.25583818651200996,0,0,276,1.0,0.0,0.0,1.0,0.0,0.0
YEAR_2012,435,0.002196175967414653,0.002196175967414653,0.0,0.38620689655172413,0.38620689655172413,0.0,0.5,0.5,1.0,0.25166760325110893,0.25166760325110893,0,0,435,1.0,0.0,0.0,1.0,0.0,0.0
YEAR_2013,364,0.002012590395154558,0.002012590395154558,0.0,0.42857142857142855,0.42857142857142855,0.0,0.5006868131868132,0.5006868131868132,1.0,0.2687515697437981,0.2687515697437981,0,0,364,0.9972527472527473,0.0027472527472527475,0.0,0.9972527472527473,0.0027472527472527475,0.0
