symbol,year,date,next_date,day_abs_oc,day_range,rv5,median20_range,next_rth_range,next_max_excursion,next_abs_oc,next_range_vs_20d,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
IWM,2023,2023-01-03,2023-01-04,0.014380713264504963,0.030807785217855585,0.015497238947969129,0.018636864327096873,0.01368685978970798,0.011739795608069148,0.005383131758624815,0.7343971362075171,False,258,46283.45234677251,0.11732577743980002,0.05954988736231528,0.021631351462796863
QQQ,2023,2023-01-03,2023-01-04,0.015521991456895479,0.029852928330093762,0.015756613363899902,0.018863066807285916,0.018451894529864052,0.01565541419362071,0.0033754289102075896,0.9782022572669336,False,515,34790.05270325062,0.24177862903206587,0.10630455320813569,0.01768911431918977
SPY,2023,2023-01-03,2023-01-04,0.009235860858198386,0.02237429095081586,0.011327364957076381,0.014219920260647225,0.015345281578382742,0.008368401778371615,0.0015136935668103035,1.0791397769542974,False,737,70999.47042491619,0.22300989509112412,0.11067797134336278,0.01593267653973465
IWM,2023,2023-01-04,2023-01-05,0.005383131758624815,0.01368685978970798,0.016103749627995777,0.017268292377099356,0.013574632950909505,0.012761743465580011,0.0052122325516761325,0.7861016396103959,False,315,46084.302694666905,0.23706377622460195,0.04038564626064736,0.019230395341438992
QQQ,2023,2023-01-04,2023-01-05,0.0033754289102075896,0.018451894529864052,0.014339669869422204,0.01865371758125811,0.0111724799045037,0.010640735954158487,0.009316853101971168,0.5989411952783604,False,630,41340.61730559028,0.2659825644456371,0.13249810155766467,0.017292105424994403
SPY,2023,2023-01-04,2023-01-05,0.0015136935668103035,0.015345281578382742,0.01177294615184642,0.014219920260647225,0.00806870628318173,0.00781495242042518,0.006130138138969787,0.5674227516951266,False,864,80352.51817174826,0.27567128585973333,0.16339622209638074,0.015700942279896078
IWM,2023,2023-01-05,2023-01-06,0.0052122325516761325,0.013574632950909505,0.014826359253645456,0.01690149691640279,0.02378778149658166,0.015630291994723988,0.013006267767283974,1.4074363717154412,False,311,52289.86789935609,0.11746602431971591,0.054992580217041384,0.021031856959986887
QQQ,2023,2023-01-05,2023-01-06,0.009316853101971168,0.0111724799045037,0.015003839805433307,0.01853860142465489,0.03645341135759126,0.02502371818932203,0.02069482271935419,1.966351750197891,False,573,37045.24918239087,0.059985056390419525,0.03851692760547768,0.019672598898264095
SPY,2023,2023-01-05,2023-01-06,0.006130138138969787,0.00806870628318173,0.01148259560709001,0.013969500157616051,0.025718085556102544,0.017354525241510155,0.014296545908693448,1.8410168771916484,False,806,73627.17793704745,0.20488859466900816,0.10383026099591915,0.01672222980690683
IWM,2023,2023-01-06,2023-01-09,0.013006267767283974,0.02378778149658166,0.01379961467022164,0.017268292377099356,0.013798119079931047,0.00765550609106147,0.006312438739169313,0.7990436331868959,False,264,46231.85997711726,0.06510647773244317,0.030467855963946935,0.02070747317055523
