date,next_date,qqq_open,qqq_close,day_oc,day_abs_oc,day_range,rv5,meaningful_move,next_close,next_cc,next_abs_cc,next_gap,next_oc,next_range,continuation_return,continued,pin_improvement,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,near_gamma_share_1_0,front_gamma_share,front_near_gamma_share,dominant_strike,dominant_strike_share,dominant_strike_distance,weighted_abs_distance,strike_hhi,effective_strikes
2026-01-20,2026-01-21,610.530029296875,608.0599975585938,-0.004045717032339691,0.004045717032339691,0.012893168141704206,0.009918894458449576,True,616.280029296875,0.013518455039445598,0.013518455039445598,0.0023188059569654307,0.011173739349115808,0.020655852397827645,-0.013518455039445598,0.0,-0.007137497735246984,False,False,921,15171.88584496178,0.1871568667720095,0.385610762087177,0.4617682988987806,0.10548329336692126,610.0,0.10965493818751447,0.0031904786520993156,0.016060111430811007,0.04762431625255036,20.99767678966831
2026-01-21,2026-01-22,609.469970703125,616.280029296875,0.011173739349115808,0.011173739349115808,0.020655852397827645,0.01335097350715242,True,620.760009765625,0.007269390951806898,0.007269390951806898,0.009849331473531286,-0.0025547776696152047,0.007593938556017689,0.007269390951806898,1.0,0.004802948005433622,False,False,1024,26589.01797338127,0.18006398733597515,0.39044897872449136,0.4259101381674467,0.12141325733697848,620.0,0.108205379288911,0.006036169478620179,0.015157827006940733,0.044112592001322476,22.669264140498033
2026-01-22,2026-01-23,622.3499755859375,620.760009765625,-0.0025547776696152047,0.0025547776696152047,0.007593938556017689,0.013225246773937839,True,622.719970703125,0.0031573569602849627,0.0031573569602849627,-0.0016593035644546505,0.004824666110413878,0.010873767468604396,-0.0031573569602849627,0.0,-0.00315735696028487,False,False,950,30119.02358275784,0.3138312932340117,0.5212079909994594,0.44419047747254997,0.22135261935478734,620.0,0.12698458630134524,0.0012243214022629179,0.014025223878285194,0.045837478213938035,21.816208896411865
2026-01-23,2026-01-26,619.72998046875,622.719970703125,0.004824666110413878,0.004824666110413878,0.010873767468604396,0.013200471161197715,True,625.4600219726562,0.004400133926068639,0.004400133926068639,0.0007869528722161956,0.003610339886509051,0.008816146089190215,0.004400133926068639,1.0,-0.0044001339260685765,False,False,816,24979.043111770945,0.3047787113126578,0.4162396802942316,0.5845430156899085,0.1992235252068504,620.0,0.09499404719780292,0.004367887382917601,0.015366651231760934,0.04178023805878546,23.934760701769676
2026-01-26,2026-01-27,623.2100219726562,625.4600219726562,0.003610339886509051,0.003610339886509051,0.008816146089190215,0.013288038216973197,True,631.1300048828125,0.009065300276544397,0.009065300276544397,0.005515862006646,0.0035299674565203443,0.007514391019032183,0.009065300276544397,1.0,-0.009065300276544501,False,False,1117,28305.050526474995,0.26231675837389357,0.4896262979539233,0.5632583025964585,0.18816171650250677,620.0,0.0984222471041972,0.00872960985649529,0.015146383365816446,0.04700618034064044,21.273798312334335
2026-01-27,2026-01-28,628.9099731445312,631.1300048828125,0.0035299674565203443,0.0035299674565203443,0.007514391019032183,0.004098513988439557,True,633.219970703125,0.003311466423943088,0.003311466423943088,0.0068607371798901085,-0.0035250860669054918,0.0075895267065192815,0.003311466423943088,1.0,-0.0033114664239431344,False,False,952,26561.177093186456,0.21234469699121908,0.4218263011273734,0.5416357851536105,0.16690463312952517,630.0,0.08707333572909566,0.0017904470934199113,0.016588439215292013,0.04062573932253245,24.614936655327895
2026-01-28,2026-01-29,635.4600219726562,633.219970703125,-0.0035250860669054918,0.0035250860669054918,0.0075895267065192815,0.0026130397322932813,True,629.4299926757812,-0.00598524715374249,0.00598524715374249,-0.0009000763011779433,-0.005089752017734539,0.024320084791081668,0.00598524715374249,1.0,0.004184901774281914,False,False,926,27264.86334589851,0.19125218546048933,0.4130326668603881,0.5448702716345757,0.15485731703873135,630.0,0.08896725021978483,0.005085074464012185,0.01473318370749052,0.04070784103250088,24.56529195939442
2026-01-29,2026-01-30,632.6500244140625,629.4299926757812,-0.005089752017734539,0.005089752017734539,0.024320084791081668,0.005463143911743086,True,621.8699951171875,-0.012010863235886293,0.012010863235886293,-0.005910062670053229,-0.006137071040291819,0.014235136674320425,0.012010863235886293,1.0,-0.012010863235886342,False,False,884,31636.01060299658,0.26996992749333315,0.4802132370298925,0.5051133434540599,0.21550258462636562,630.0,0.15007234401584454,0.000905592886979445,0.014356907666554224,0.05160976757804268,19.376177164290294
2026-01-30,2026-02-02,625.7100219726562,621.8699951171875,-0.006137071040291819,0.006137071040291819,0.014235136674320425,0.008548294891693776,True,626.1400146484375,0.006866418326623602,0.006866418326623602,-0.005097500980987046,0.01202521786748667,0.01580718987413333,-0.006866418326623602,0.0,-0.006866418326623625,False,False,1238,24703.36481266072,0.2092423729924925,0.38127844106262077,0.45378987666831444,0.10505010489083384,620.0,0.0989475187596735,0.0030070515250298913,0.01655534139558767,0.04171897396389039,23.969908772577774
2026-02-02,2026-02-03,618.7000122070312,626.1400146484375,0.01202521786748667,0.01202521786748667,0.01580718987413333,0.008945196472818077,True,616.52001953125,-0.015363967949866497,0.015363967949866497,0.003449664761872917,-0.01874895510200192,0.03037652609819706,-0.015363967949866497,0.0,-0.011722563082689602,False,False,1212,28494.70776411431,0.21168605921770514,0.507389931842271,0.4557625918141071,0.13786321815499383,625.0,0.083756522183595,0.0018207024335884503,0.015474515877827524,0.04034184398209985,24.788157934568183
2026-02-03,2026-02-04,628.2999877929688,616.52001953125,-0.01874895510200192,0.01874895510200192,0.03037652609819706,0.009575570752196116,True,605.75,-0.017469050785145046,0.017469050785145046,-0.0024330110174531905,-0.015072711841665476,0.02372997537685139,0.017469050785145046,1.0,-0.01746905078514501,False,False,1042,25456.552566828588,0.1386560384577031,0.2981317778864336,0.42375411891236325,0.07498106424868778,620.0,0.09411311540932524,0.00564455388066043,0.016926195284945662,0.044901214314184056,22.27111260294146
2026-02-04,2026-02-05,615.02001953125,605.75,-0.015072711841665476,0.015072711841665476,0.02372997537685139,0.009771220217496254,True,597.030029296875,-0.014395329266405299,0.014395329266405299,-0.009145650891198898,-0.005298133252306991,0.016590982737051178,0.014395329266405299,1.0,0.00458940040755262,False,False,905,26511.109842202528,0.18224855215009855,0.4436207023742519,0.43592042858111457,0.0874307561174543,600.0,0.13989896324870424,0.009492364836978906,0.016813465788023764,0.05311056520078887,18.828645415830497
2026-02-05,2026-02-06,600.2100219726562,597.030029296875,-0.005298133252306991,0.005298133252306991,0.016590982737051178,0.009890290693921729,True,609.6500244140625,0.021137957050586076,0.021137957050586076,0.005292821113626056,0.01576171201482124,0.021171386685804365,-0.021137957050586076,0.0,-0.011188806899385999,False,False,685,25897.872576588,0.2734457573393542,0.37004835219786136,0.41842204393306265,0.15334863731902168,600.0,0.1851232755552383,0.004974575075600063,0.018673938420943725,0.06542792890496994,15.28399288708097
2026-02-06,2026-02-09,600.1900024414062,609.6500244140625,0.01576171201482124,0.01576171201482124,0.021171386685804365,0.017091616771125598,True,614.3200073242188,0.00766010452414001,0.00766010452414001,-0.003461078163240816,0.011159807653957854,0.01868287409548535,0.00766010452414001,1.0,0.007660104524140048,False,False,779,25400.684587904805,0.15877438949162823,0.33101371293166015,0.3713410910873506,0.07441157092518445,620.0,0.10655949194399782,0.016976913264105775,0.01783181001255267,0.04961155247676343,20.15659559269729
2026-02-09,2026-02-10,607.5399780273438,614.3200073242188,0.011159807653957854,0.011159807653957854,0.01868287409548535,0.01721917600544467,True,611.469970703125,-0.004639335504483366,0.004639335504483366,0.0016115220448167378,-0.006240800361939636,0.009783190672566043,-0.004639335504483366,0.0,-0.004639335504483399,False,False,1094,29068.56363823833,0.1549992577247921,0.415208285276697,0.35541960807244666,0.07214205511934557,620.0,0.11936449445090629,0.009245983539623692,0.016113127553748767,0.04833781843810473,20.687735448393745
2026-02-10,2026-02-11,615.3099975585938,611.469970703125,-0.006240800361939636,0.006240800361939636,0.009783190672566043,0.016027567523509336,True,613.1099853515625,0.002682085346810581,0.002682085346810581,0.008029886036826195,-0.005305200534322485,0.016076042260162477,-0.002682085346810581,0.0,0.0026820853468105046,False,False,954,30567.9105606906,0.16406598705398767,0.3426376591547737,0.36579848820186583,0.07708138534511826,620.0,0.10414175944332288,0.01395003795045957,0.015624494940812654,0.049993985481954946,20.002406096648254
2026-02-11,2026-02-12,616.3800048828125,613.1099853515625,-0.005305200534322485,0.005305200534322485,0.016076042260162477,0.013327180354633466,True,600.6400146484375,-0.020338880463632636,0.020338880463632636,0.0026097056960772136,-0.022888852989685904,0.026487890627099886,0.020338880463632636,1.0,-0.020338880463632664,False,False,1083,32105.19966272536,0.17961669655724957,0.3735956895395961,0.339393364852328,0.09175305608110013,620.0,0.11381220548915252,0.01123781183320105,0.015079725332039492,0.05204430966428173,19.214396471979818
2026-02-12,2026-02-13,614.7100219726562,600.6400146484375,-0.022888852989685904,0.022888852989685904,0.026487890627099886,0.015324999858182992,True,601.9199829101562,0.002131007309707611,0.002131007309707611,-0.0003496636380098117,0.002481538651550208,0.01674879680549089,-0.002131007309707611,0.0,-0.002131007309707683,False,False,915,30576.899833544812,0.24881583459329384,0.4579968983262951,0.36994599992136346,0.1190514160532449,600.0,0.17546574991960295,0.001065554463287155,0.015616997598503097,0.06373072002472066,15.69101996042266
2026-02-13,2026-02-17,600.4299926757812,601.9199829101562,0.002481538651550208,0.002481538651550208,0.01674879680549089,0.010889563452504835,False,601.2999877929688,-0.0010300291314303545,0.0010300291314303545,-0.0058811438859841525,0.00487981364071155,0.017626903330681027,,,0.001030029131430318,False,False,836,25575.3923872496,0.21536301678748174,0.35673676855732733,0.6709698647366313,0.140130092875719,600.0,0.1540580147227168,0.0031897643618234994,0.017112087648305747,0.0609820519566005,16.398267488796154
2026-02-17,2026-02-18,598.3800048828125,601.2999877929688,0.00487981364071155,0.00487981364071155,0.017626903330681027,0.009462324357599127,True,605.7899780273438,0.0074671384093241144,0.0074671384093241144,0.001347077290932308,0.006111828013668497,0.01505080494237593,0.0074671384093241144,1.0,-0.007467138409324118,True,False,908,28590.07413760372,0.2357289079280026,0.39296457419454256,0.6789241056445426,0.1635762994602855,600.0,0.16030506521975785,0.002161962114352045,0.015593175419491156,0.06090038412695212,16.42025767711766
2026-02-18,2026-02-19,602.1099853515625,605.7899780273438,0.006111828013668497,0.006111828013668497,0.01505080494237593,0.010790078000524783,True,603.469970703125,-0.003829722194767071,0.003829722194767071,-0.0049191643586673495,0.001094827801801923,0.008369249258180866,-0.003829722194767071,0.0,0.0038297221947670304,True,False,950,38935.06521594432,0.18371116604159152,0.5055410467711792,0.5676349933863719,0.15113875915141925,600.0,0.14248540932986023,0.00955773161879947,0.015045645473871478,0.06311339686415557,15.844496567858432
2026-02-19,2026-02-20,602.8099975585938,603.469970703125,0.001094827801801923,0.001094827801801923,0.008369249258180866,0.010500263159364387,False,608.8099975585938,0.008848869230803524,0.008848869230803524,-0.005551188540557028,0.014480441431899527,0.01842675801122496,,,-0.008848869230803462,True,False,844,39982.087922452614,0.2147946055179573,0.48496531817896543,0.5729925240990226,0.17541316264225643,600.0,0.17940446544341684,0.005750030443241405,0.013838229590028868,0.07005566615305403,14.274362873307796
2026-02-20,2026-02-23,600.1199951171875,608.8099975585938,0.014480441431899527,0.014480441431899527,0.01842675801122496,0.005417721393421132,True,601.4099731445312,-0.012154899629995497,0.012154899629995497,-0.0036136269375561803,-0.008572249604525628,0.014717271412406314,-0.012154899629995497,0.0,0.01215489962999548,True,False,775,24342.521250949474,0.1793136930237773,0.2872609952960032,0.5605360176141762,0.12754154046422825,600.0,0.11391807502686906,0.014470849023378363,0.017430348590586047,0.052477655753687985,19.055729255393096
2026-02-23,2026-02-24,606.6099853515625,601.4099731445312,-0.008572249604525628,0.008572249604525628,0.014717271412406314,0.00862311340681542,True,607.8699951171875,0.010741461334402791,0.010741461334402791,0.00164621691315614,0.009080296283927813,0.01539716695619151,-0.010741461334402791,0.0,-0.010741461334402867,False,False,1086,25659.853125665428,0.23558201330623516,0.3520247395960851,0.5269788653697893,0.14994608020381958,600.0,0.14403287667385453,0.0023444458979605676,0.01722528115276651,0.055075541410010906,18.156880066879072
2026-02-24,2026-02-25,602.4000244140625,607.8699951171875,0.009080296283927813,0.009080296283927813,0.01539716695619151,0.009840304906229613,True,616.6799926757812,0.014493226560549965,0.014493226560549965,0.005264303605599707,0.009180593523363756,0.009590894659506622,0.014493226560549965,1.0,-0.0074851330539708345,False,False,1027,29118.7025467753,0.26036477332754326,0.34821957561283895,0.5541741054352017,0.1883022248331806,610.0,0.12420380578342641,0.0035040467532894137,0.01637626474446602,0.05280609470481915,18.93720801717872
