symbol,year,date,next_date,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,next_rth_range,next_max_excursion,next_abs_oc,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
IWM,2020,2020-01-02,2020-01-03,0.005757506790453726,0.015113375251533452,0.0026058104969124934,0.004038433317307701,0.006186393910561654,0.008557099230156134,2.4430024130424846,0.010443426508487433,0.010199084603151665,0.00848906402233185,False,297,51902.441003538406,0.3680523762753666,0.13187537292838955,0.014040722916078685
QQQ,2020,2020-01-02,2020-01-03,0.008209001006197703,0.010167947745478268,0.008997164827863419,0.0054707262751321735,0.006348610571696331,0.007989080853900734,1.6016020561742252,0.010267240553554236,0.010173455873879078,0.004125595927956471,False,299,53674.748597349935,0.11006596032860912,0.06748773554402934,0.017081755785045605
SPY,2020,2020-01-02,2020-01-03,0.004110732945353801,0.00729435558759636,0.00562181359887685,0.004101760152561169,0.005021877975286938,0.006170407413731367,1.4525154978859434,0.007908857005725418,0.007722041842225469,0.0038921409445340505,False,1026,175140.0350418142,0.3421119526049275,0.18704897810795915,0.011057851607493273
IWM,2020,2020-01-03,2020-01-06,0.00848906402233185,0.010443426508487433,0.0027836137342539887,0.0040566685365889515,0.006523124411498623,0.00870222009556943,1.6009853330527173,0.01220628578272044,0.010314233260080075,0.009154714337040293,False,252,44111.59533373706,0.22675435340005543,0.02353784342325539,0.015862853863726024
QQQ,2020,2020-01-03,2020-01-06,0.004125595927956471,0.010267240553554236,0.01011308091585393,0.00614689003040569,0.006750691693367449,0.008282880425906235,1.5209168215520483,0.015764662798713237,0.014541159237132284,0.014399988511029305,False,256,53908.442809425775,0.232650065618042,0.0646309986238913,0.017125754654816673
SPY,2020,2020-01-03,2020-01-06,0.0038921409445340505,0.007908857005725418,0.0067207501390176136,0.00456630189359862,0.005021877975286938,0.006335517904272002,1.5748803624153225,0.010515228985158376,0.010109584856561993,0.009828776280216722,False,870,141502.9991341961,0.28211312818736967,0.11399081443437907,0.013036591628433269
IWM,2020,2020-01-06,2020-01-07,0.009154714337040293,0.01220628578272044,0.0024521849620992124,0.004055845368670295,0.006523124411498623,0.008934623759686068,1.87123301852159,0.006854653213138942,0.0038974445130108837,0.0003033245368908588,False,248,48267.28561146253,0.27628421212889664,0.03628639025657532,0.01462959088696102
QQQ,2020,2020-01-06,2020-01-07,0.014399988511029305,0.015764662798713237,0.010408941409623703,0.006194704601399668,0.00706895205974958,0.008741362744893816,2.230127275650488,0.005982161425449981,0.003676952588738569,0.0005101122735249319,False,258,56582.96564295479,0.17947203123726113,0.05529180005924587,0.017063965562639116
SPY,2020,2020-01-06,2020-01-07,0.009828776280216722,0.010515228985158376,0.006971156062329449,0.004589886357360666,0.005119820185775903,0.006590053969385341,2.0538277915252223,0.004024575428029785,0.0024205523924252237,0.0008977092353609217,False,956,151636.89503937087,0.2769426933212661,0.11056361201059665,0.012503105990628727
IWM,2020,2020-01-07,2020-01-08,0.0003033245368908588,0.006854653213138942,0.002627009102762935,0.003377374735864444,0.006810237209000535,0.008511979788461983,1.0065219467068938,0.007948049389518855,0.0073412898999447584,0.0029728807948123936,False,246,51982.25859380653,0.4132821769423229,0.05414575015690092,0.014116800804652257
QQQ,2020,2020-01-07,2020-01-08,0.0005101122735249319,0.005982161425449981,0.009464759306464331,0.005961562203898758,0.00706895205974958,0.008468676277977996,0.8462585931954816,0.013828286438696345,0.012250577214145908,0.007656584206424011,False,250,65750.49156072657,0.20732427044014254,0.07671413194507311,0.01573593847893596
SPY,2020,2020-01-07,2020-01-08,0.0008977092353609217,0.004024575428029785,0.006475450724176992,0.004362352223356884,0.005119820185775903,0.006279136253900778,0.7860774953016959,0.00963022644469934,0.008794191851181132,0.004675821373039568,False,987,181371.07455934354,0.27952880470484387,0.154141742879879,0.01098091114472364
IWM,2020,2020-01-08,2020-01-09,0.0029728807948123936,0.007948049389518855,0.0030536783222062575,0.0033664810336519113,0.006896152886460321,0.008672971757650607,1.1525338141971582,0.00716351117495986,0.005203924960290207,0.0036720480874156136,False,283,53897.93151256255,0.2998341852619506,0.05335651221108304,0.014364628470711406
QQQ,2020,2020-01-08,2020-01-09,0.007656584206424011,0.013828286438696345,0.009611216436680574,0.0058176743759426825,0.00706895205974958,0.008767311288956494,1.956200342259248,0.007764670363046829,0.005649697715344848,0.00022838700648675214,False,298,60295.80304597746,0.13611531567895366,0.03982054912860028,0.016906338895994348
SPY,2020,2020-01-08,2020-01-09,0.004675821373039568,0.00963022644469934,0.0067546154382893565,0.0043252123262589835,0.005860925822413501,0.006541822046436512,1.6431237549315474,0.003709902989545559,0.0019661300996498543,0.0015023001866365515,False,994,167758.69043119848,0.3377698311543066,0.1372907657356506,0.012186752801675863
IWM,2020,2020-01-09,2020-01-10,0.0036720480874156136,0.00716351117495986,0.003111825623248911,0.003366832821166422,0.00705058186737078,0.008719074163649863,1.0160170195472382,0.009000335038944245,0.008221718201012918,0.003986733010829524,False,296,64853.41220713066,0.2865188127570176,0.052718326562421765,0.013877914340002125
QQQ,2020,2020-01-09,2020-01-10,0.00022838700648675214,0.007764670363046829,0.007403267868889457,0.005856309116075037,0.00722988748662544,0.008934870475068002,1.0739683539212308,0.008323865272912649,0.008301288172429588,0.006459010181085745,False,283,59653.467585990125,0.32602504574166175,0.065845360410192,0.016050958914573976
SPY,2020,2020-01-09,2020-01-10,0.0015023001866365515,0.003709902989545559,0.0060835752943414565,0.0044173420445238415,0.005436197560781609,0.006616011260725155,0.682444474849467,0.0069051275292343174,0.006426802765800765,0.004827575082014368,False,1065,183539.72445118253,0.3009875432712579,0.17458069090733688,0.010657988265573744
IWM,2020,2020-01-10,2020-01-13,0.003986733010829524,0.009000335038944245,0.0030618532233974644,0.003515679729989895,0.0075557802822393575,0.008821741091598268,1.1911853842680502,0.01194365182948197,0.006669036185550814,0.006184092745016745,False,245,58703.7374904157,0.28559872262505953,0.2619631519808722,0.012882573424115473
QQQ,2020,2020-01-10,2020-01-13,0.006459010181085745,0.008323865272912649,0.004961402323444824,0.005997634168272816,0.007409269444721693,0.009036364540799383,1.123439407220169,0.009118679539065332,0.007522882791727303,0.007386108164241678,False,230,52461.807762174714,0.1642480616916469,0.11419688674385373,0.015883751601095467
SPY,2020,2020-01-10,2020-01-13,0.004827575082014368,0.0069051275292343174,0.00458718119970056,0.004547400987476836,0.006541215363326762,0.0067610048403919125,1.0556337233517525,0.006250123887953677,0.004810125114678154,0.004779550502713947,False,949,166101.17890283786,0.3043367572157684,0.25692118978030026,0.010882915109631198
IWM,2020,2020-01-13,2020-01-14,0.006184092745016745,0.01194365182948197,0.004343878029306725,0.0032895448726361293,0.0075557802822393575,0.00854250347934499,1.5807304319789126,0.01580477546323139,0.014835878389834578,0.0086593674449289,True,254,68703.41655774464,0.1397684559375759,0.11010777768305421,0.01297402420842866
QQQ,2020,2020-01-13,2020-01-14,0.007386108164241678,0.009118679539065332,0.00601342684938589,0.0062152376563481,0.007409269444721693,0.008929764576734634,1.230712367406399,0.006656408463501272,0.005005874293385171,0.0034413807255870843,True,226,46813.5560925809,0.2926028689745428,0.2436507208143651,0.01708416802109648
SPY,2020,2020-01-13,2020-01-14,0.004779550502713947,0.006250123887953677,0.005062082524014819,0.004424458581476236,0.006213713542686442,0.006498940126903651,1.0058596755413822,0.005435608674570527,0.0035117534192370403,6.104074754131883e-05,True,1042,169107.98743828217,0.31064800468228954,0.2556114305338633,0.01010126157359263
IWM,2020,2020-01-14,2020-01-15,0.0086593674449289,0.01580477546323139,0.0037978538288278734,0.0031815714712984484,0.0075557802822393575,0.008639646905220975,2.0917463018852134,0.010893756395329295,0.010833602876201498,0.007342770180679192,True,246,71020.09219472644,0.20588018435305055,0.1538252810230123,0.013499392172872918
QQQ,2020,2020-01-14,2020-01-15,0.0034413807255870843,0.006656408463501272,0.0069815841324411335,0.006428624737363048,0.00722988748662544,0.00879028793046584,0.9206793986510791,0.00794732072776248,0.004541326130149903,0.00013623424029352016,True,232,57397.22522202488,0.3446533082772252,0.28332396921762726,0.01491912287160323
SPY,2020,2020-01-14,2020-01-15,6.104074754131883e-05,0.005435608674570527,0.004736535851415086,0.004477142787631242,0.005806455935994867,0.00635250918962785,0.9361319080843417,0.005376444830400672,0.005101520937892179,0.0025660495562203067,True,916,196074.5389337896,0.39578324630563266,0.34196334552192187,0.009609525439588948
IWM,2020,2020-01-15,2020-01-16,0.007342770180679192,0.010893756395329295,0.003977250016923701,0.0032534554418597967,0.008474192214231551,0.008717644349862847,1.2855215128392214,0.00854144654300944,0.007592376814170354,0.005575671521590664,True,304,74207.56953573442,0.22081354643638265,0.17855013548383622,0.012882993571599445
QQQ,2020,2020-01-15,2020-01-16,0.00013623424029352016,0.00794732072776248,0.006861704225758058,0.006234669876893521,0.007409269444721693,0.008623172446281507,1.0726186686899462,0.0068694547074228795,0.004745347455522575,0.004564534222145644,True,306,67202.65976567316,0.31466481267289087,0.2651913666499276,0.013372353046381182
SPY,2020,2020-01-15,2020-01-16,0.0025660495562203067,0.005376444830400672,0.00454054676236075,0.00430596210301401,0.005406026752485599,0.006164298329983292,0.9945279734194201,0.004458602263502662,0.0037003372021018333,0.0037003372021018333,True,998,182604.35359772635,0.24881691221525262,0.19483255308911,0.010215645610665486
IWM,2020,2020-01-16,2020-01-17,0.005575671521590664,0.00854144654300944,0.005975956467028843,0.0041216390789697785,0.008770890790976843,0.009159391387285514,0.973840257114654,0.011099362245698048,0.009545269626071384,0.007105893021801202,True,293,87204.950724018,0.6009889806117407,0.5183650571818426,0.008289821792638248
QQQ,2020,2020-01-16,2020-01-17,0.004564534222145644,0.0068694547074228795,0.007105400066448591,0.006406693252379038,0.007409269444721693,0.008951350117985278,0.927143324814112,0.006449312295229961,0.005222418906939863,0.00044789548576851246,True,304,47746.327657692666,0.2645712150479072,0.1894652705297948,0.012657917791346571
SPY,2020,2020-01-16,2020-01-17,0.0037003372021018333,0.004458602263502662,0.004952992321501179,0.004566817569586895,0.005406026752485599,0.006459718546194681,0.8247466147763092,0.0040096066425089885,0.0025691584942866275,0.0007536930684342025,True,953,174589.67760215644,0.6078237259098466,0.5248146886020625,0.007588827905403125
IWM,2020,2020-01-17,2020-01-21,0.007105893021801202,0.011099362245698048,0.005612465334566414,0.004222848749931409,0.009440520067560338,0.009425378284883008,1.1757151265254813,0.010216210587239516,0.006516388533805317,0.004098375141986188,True,234,27226.44502623704,0.1116112811440659,0.04138718978336449,0.012102738121085256
QQQ,2020,2020-01-17,2020-01-21,0.00044789548576851246,0.006449312295229961,0.0063931532534848194,0.006397782334167598,0.007409269444721693,0.009084234631241906,0.870438353382384,0.005297148073618933,0.004848275532802315,0.0023343701081164347,True,245,22099.446669448076,0.21072610472691428,0.08141783624982422,0.016606965287327354
SPY,2020,2020-01-17,2020-01-21,0.0007536930684342025,0.0040096066425089885,0.003907740920446213,0.004558192506706219,0.005406026752485599,0.006548019859070687,0.7416919719580447,0.004109958829397697,0.00386823452072127,0.0012088059953530017,True,828,79099.8081329468,0.34540434712829016,0.1839071440141863,0.010757765176705408
IWM,2020,2020-01-21,2020-01-22,0.004098375141986188,0.010216210587239516,0.008022949541447168,0.004654923766226609,0.009907639231689167,0.009700161294449883,1.0311447912398137,0.008561760036289409,0.006041451189579661,0.003745792696756678,False,259,31501.757761922112,0.27096706201078996,0.1786722527211989,0.013208798917422165
QQQ,2020,2020-01-21,2020-01-22,0.0023343701081164347,0.005297148073618933,0.005242129874295358,0.0064060831133355926,0.007409269444721693,0.009019082358847345,0.7149352730575321,0.00695155088069342,0.0036674598043267004,0.0024063479172476976,False,241,27558.74505939259,0.25216264122530213,0.1360096067137794,0.014757558605764323
SPY,2020,2020-01-21,2020-01-22,0.0012088059953530017,0.004109958829397697,0.004162598581577048,0.0046059980491445895,0.005406026752485599,0.006524446672770254,0.760254992727886,0.0053575693222275705,0.0032308988231330993,0.0027088668520892645,False,965,99743.28452561324,0.3191071309175314,0.20765475606499526,0.010476676656186004
IWM,2020,2020-01-22,2020-01-23,0.003745792696756678,0.008561760036289409,0.00804115677496116,0.004658340561136942,0.009907639231689167,0.009921406292497202,0.8641574280283622,0.015080814963584366,0.00997285697013095,0.002094499293493479,False,307,51709.40149421383,0.23843047758782662,0.1496344067750676,0.015200964835361494
