sample,n_candidates,baseline_chases,overlay_chases,vetoes,baseline_t1_precision,overlay_t1_precision,precision_improvement_pp,baseline_miss_rate,veto_miss_rate,veto_miss_minus_baseline_pp,retained_baseline_winners,baseline_t2_hit_rate,overlay_t2_hit_rate,veto_t2_hit_rate,baseline_mean_mfe,overlay_mean_mfe,veto_mean_mfe
FULL,1195,98,73,25,0.6938775510204082,0.7397260273972602,4.584847637685208,0.30612244897959184,0.43999999999999995,13.38775510204081,0.7941176470588235,0.6530612244897959,0.684931506849315,0.56,0.009633013660758525,0.010367837942340488,0.00748732675853919
SYMBOL_SPY,357,33,28,5,0.6363636363636364,0.7142857142857143,7.792207792207795,0.36363636363636365,0.8,43.63636363636364,0.9523809523809523,0.6060606060606061,0.6785714285714286,0.2,0.008870351596248756,0.009752133961325848,0.003932370351817038
SYMBOL_QQQ,449,33,25,8,0.7575757575757576,0.8,4.2424242424242475,0.24242424242424243,0.375,13.257575757575758,0.8,0.7272727272727273,0.76,0.625,0.010410374620840285,0.010847290091318183,0.009045013775596855
SYMBOL_IWM,389,32,20,12,0.6875,0.7,1.2499999999999956,0.3125,0.33333333333333337,2.083333333333337,0.6363636363636364,0.625,0.6,0.6666666666666666,0.009617855424699909,0.010630508329538869,0.007930100583301644
YEAR_2017,306,34,21,13,0.47058823529411764,0.47619047619047616,0.5602240896358524,0.5294117647058824,0.5384615384615384,0.9049773755656076,0.625,0.47058823529411764,0.47619047619047616,0.46153846153846156,0.005132351613948133,0.0049385754130546675,0.005445374707699116
YEAR_2018,447,27,17,10,0.7777777777777778,0.8823529411764706,10.457516339869278,0.2222222222222222,0.4,17.777777777777782,0.7142857142857143,0.7037037037037037,0.7647058823529411,0.6,0.012616921039691809,0.014792559785302969,0.008918335172152837
YEAR_2019,442,37,35,2,0.8378378378378378,0.8285714285714286,-0.9266409266409203,0.16216216216216217,0.0,-16.216216216216218,0.9354838709677419,0.7837837837837838,0.7714285714285715,1.0,0.011591311238065408,0.011476244850473062,0.013604973020931443
