feature,n,rho_vs_gap_followthrough,p_value
near_gamma_share_0_5,119,0.27657028913260223,0.0023283325858804455
front_near_gamma_share,119,0.23360632388548644,0.010560143101419249
weighted_abs_distance,119,-0.04992166358068652,0.589770113965245
