sample,feature,outcome,expected_sign,n,rho,p_value
NON_OPEX,near_gamma_share_0_5,mfe_from_open,1,114,-0.2505457564650372,0.007174365206039307
NON_OPEX,near_gamma_share_0_5,gap_retention_close,1,114,0.01359632247220591,0.8858354733727702
NON_OPEX,near_gamma_share_0_5,mae_from_open,-1,114,-0.21790972236285214,0.01985586309067493
NON_OPEX,near_gamma_share_0_5,gap_fill,-1,114,-0.11823716540589435,0.21023670669740174
NON_OPEX,front_near_gamma_share,gap_followthrough,1,114,0.1109617059192807,0.23986526285460627
NON_OPEX,front_near_gamma_share,excursion_efficiency,1,114,-0.05063080942062737,0.5926672877497359
NON_OPEX,front_near_gamma_share,mfe_from_open,1,114,-0.2941414714161318,0.0014904342789322498
NON_OPEX,front_near_gamma_share,gap_retention_close,1,114,-0.008695652173913044,0.9268389193752027
NON_OPEX,front_near_gamma_share,mae_from_open,-1,114,-0.18757416820234504,0.045668124106410926
NON_OPEX,front_near_gamma_share,gap_fill,-1,114,-0.07396571534523984,0.434152002489086
NON_OPEX,weighted_abs_distance,gap_followthrough,-1,114,-0.1168587108402017,0.21563957911086543
NON_OPEX,weighted_abs_distance,excursion_efficiency,-1,114,-0.03307749944310565,0.726808162795191
NON_OPEX,weighted_abs_distance,mfe_from_open,-1,114,0.2724084161924627,0.0033663967916267748
NON_OPEX,weighted_abs_distance,gap_retention_close,-1,114,0.053166197525364015,0.5742514342139694
NON_OPEX,weighted_abs_distance,mae_from_open,1,114,0.29615844150584236,0.00137738054245955
NON_OPEX,weighted_abs_distance,gap_fill,1,114,0.06478748789364075,0.49344637564160126
